Link,Job Title,Company,Date Posted,Location,Salary,Job Type,Work Format,Processed Location,processed_title,cluster
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B1hmmxUrJ4gPt5A7Joxyl-zeZTF_0SvFSmKi193PA8LalxxM-B6-6vbwUnnA3H44RgSfpvnV75ZXNtmqDWD0jXoH0m25XyjZv6rskFE2SvZ47MiEg0BY_abDBXnYYVzCeGIQbVyU5HzXHJS-ADQvrqRqqNfD4x2BKI7rQACn7QFdmmo39fzis24eKPfsEXfP2dQQPepE4VTBSrS-mjqOSfF_LU2Zr10O7syHKem0ShJquZlsNxL0t0IB8glen7ejT_EQNunKSgvgYXJCmCKBHmZ9brz1xkLisZBj1FOgkIPBHTfpQIVBGSLUCe6rwn2jqMNmyoTyRfSe_CBNQfZe0BLnKrIZEvZVF51fo6qmzB0b1QdN9AvCwCzL_HoLMi3ETcDKGQPkdaqeLdiKulXWUDTclMoGZnUKJtgGnAk0EZNPXT9UTTc6kgaDodbz6TxWaGVMy1r2oWURFABc7rj6qtkpREA-m9lKkgj_c558ffVgH_Abf7YHNsJdYWe7CfUg7g4wW-OmJ8QcHqa9AB1TzCj5l9n2pPTK_lItVy5qDUckbLDgv-jpAuX_JWCKOu-rtuhcCOU1BIulH7IpIuBL4sTJQ4fSPtIcwsu5HC-gs0ccugHotSZMOukD5W03SyM4tIppuSRwyejKzmPicSgnfU&xkcb=SoCh6_M37GDW8TATEz0LbzkdCdPP&camk=nUmJqO2E8rjwPsHD7860qQ==&p=0&fvj=1&vjs=3,Senior IT Services Technician,The People Connection,N/A,"Palo Alto, CA 94306",N/A,Unknown,Unknown,"Palo Alto, CA 94306",senior services technician,8
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bl_RD1BvZd21MySKotSpOIGYuChdo3SYsh-NCBINrybAo5mhdl-IzrczWx_zwhgIjFecGiCGFiq9Ay_IDeM2wkOTbeZaYtmKBAcSKlW2fhhv3sGlAejln8Z7Mbg1qZhNIVex-VK6tyR77e1c0qJ51gzfVF5yvxk0tn-UhS7JgVmyB7XkKjCNlL4tvckzcvlWDLrZ9zykyWH2U1zwhTNyR1K9FmX0ew3JAKsXDDxZybI7o2vGbNxI3v4vPUKKSuYZL5DP86Co2298jLNm-LACC7NiMgmSUsA9QUBkmQQmE6629CSVniHwCDKjt93637Q_cqluZyG8aqcJSaT9w2OFVxpPZJtWltjtBhCPCaXNZTBKAtzHFJu4etDOBW3GYTBXoMwElPnK7BWwK6CY8SeS7_vrkQhrOYadOlkunqQR3jKErW_gl0rFe_V_pwks4O6dvZjRtqQDYNCApG6yFtWgD6EqqVMbEDdzbbtFN56cyvacHRmAM0gqJUBJHRVdzSNKTq21DuEMsuklD0x4LkJJaAfcpcTec5Uk2K3h-akPMlR_LRe_3l5zsHUwHRGrzu1MEtJlgno7btggd_xOIolu_-7saiKEyo1Gp1VT0THps-yehhMfBrQnRVXpxaJMN9VKTBruDbr5SYH0p-slIOFK6uxbPQXaQadljAym2Yh2iyGlzqg9M-5-Xqr_ATMx_Cwns=&xkcb=SoAV6_M37GDW8TATEz0KbzkdCdPP&camk=nUmJqO2E8rge-x4Daxh3FQ==&p=1&fvj=0&vjs=3,Help Desk Support Coordinator,"PEG, LLC",N/A,"Fairfax, VA 22033",N/A,Unknown,Unknown,"Fairfax, VA 22033",help desk support coordinator,2
https://www.indeed.com/rc/clk?jk=e2563f7fd724e0c9&bb=DB0ML89QmIwPwFZLmf0bo3bFuN74Rs-U0-RSEh4ozEl7j7zr-Fu_KD-M1JNUBb-sFKZNnkfxmri6SR7mzDwT9S5smZ2wAZJgm2_4T4A_tPauBax-NrJVGtfevUS67Bvf&xkcb=SoB867M37GDW8TATEz0JbzkdCdPP&fccid=25773423451a90fb&cmp=U.S.-District-Court---Eastern-District-of-Virginia&ti=IT+Technician&vjs=3,IT Specialist,U.S. District Court - Eastern District of Virginia,N/A,"Norfolk, VA 23510 (Downtown area)",N/A,Unknown,Unknown,"Norfolk, VA 23510 (Downtown area)",specialist,5
https://www.indeed.com/rc/clk?jk=9628947f9e98e1b6&bb=DB0ML89QmIwPwFZLmf0bo-rC65BlQpvxpf1RUESKwi8PzCsGNZDInWYzNBlA45DC3a9qfRLvRh4yu5xVqBtku5oPIBpQCvlTLj4l5atDesAK174YiZNhU7cW0FudycrY&xkcb=SoDI67M37GDW8TATEz0IbzkdCdPP&fccid=a379357ec6cccd3d&cmp=HCL-America&ti=Desktop+Support+Technician&vjs=3,Desktop Support,HCL America,EmployerActive 2 days ago,"Fort Payne, AL",N/A,Unknown,Unknown,"Fort Payne, AL",desktop support,4
https://www.indeed.com/rc/clk?jk=982f390fa9666e56&bb=DB0ML89QmIwPwFZLmf0bo7zhdDRWTRk9mXTqz1XQo7bTJxIso1znUCYthlvrSvcpvKHwASi_eZWRTcw10RKSip-JofBU9IEFyJr56c0mW8aaTp5ml41mpCXijZmchDP4&xkcb=SoBG67M37GDW8TATEz0PbzkdCdPP&fccid=568ec5f3361c7553&cmp=Tycon-Systems&ti=IT+Support&vjs=3,IT Customer Support Specialist,Tycon Systems,N/A,"Bluffdale, UT 84065",N/A,Unknown,Unknown,"Bluffdale, UT 84065",customer support specialist,5
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AanKFsBMaqVV-QlV7a7TbFtBtxkwF3PcagZPuUuEounrGqNmEKUDojzDJTlDRY-FfpYY5wX5oPqiS3nJeXI3OSIY0P4Ar51IWfdnXw1pRRkaeOu_MpWMfg4IhOeSMMD-6mc5f9Db9eQDIOfuyHgsSUKKPPvheYsYAcv9goTmIY7oG7I1c_yoQz0wjs8QMKDeKwgdM4XOKKt5bV3jgGdV6kCf8ZYD04h228pDrr1vDZhEVfL7s-6qxzWHC-S4Z_-VDSNYi3RVNcyOXFHimRcFcSN3XDEYJGPTKPGx5ovv9kA9Z_WS0BNZ9RPJfxoCZzIKPwB3F330HSI6REjoM5icFI3gBsOTVVbAUfZv8H2QC0eDVmxqK1TnMzWk478bQHjfnPNMxW5xYSwfAi1BuNo6UNQZD9dcaAfMWob-N6P03p-WqIywhuG6RUGxsOu8AaX225PmweZOo49_CxYdn2VSc06FWJyY6Y1KKnYDR1xdk8EPIFK4fByhfpJaUbEGT-6bwqc80ipjb5KkXPwv4EL2JzxnfHVfpAV3n_k4GWsDeCkzbUiYHF6dQeOTzR7ERv6dj4weSE1ZNmjd2xyoYOkViSLsf9c2RDHla-smRCxjl9awNd74mNWstbpIrYchpa7hw=&xkcb=SoAG6_M37GDW8TATEz0ObzkdCdPP&camk=nUmJqO2E8riFnpBxCnZo8g==&p=5&fvj=1&vjs=3,Help Desk IT Support,All My Sons Moving & Storage,N/A,"Carrollton, TX 75006",N/A,Unknown,Unknown,"Carrollton, TX 75006",help desk support,2
https://www.indeed.com/rc/clk?jk=bfcca9a23c21882b&bb=DB0ML89QmIwPwFZLmf0bo_Pd_rjQShNAEIpdgSn9KOkUnwLnFN1ISA7DWF3xGeaofpVwemWfbe3gm-GrmQTPVtlZGTTzq6zsca7nfQDcYxOmmBxyJNN4ddgtuuKoRcjy&xkcb=SoBv67M37GDW8TATEz0NbzkdCdPP&fccid=c7c2ad457640c4f1&vjs=3,IT TECHNICIAN,"Doppelmayr USA, Inc.",N/A,"Salt Lake City, UT 84104",N/A,Unknown,Unknown,"Salt Lake City, UT 84104",technician,1
https://www.indeed.com/rc/clk?jk=0e4e0bb0d53c9b9f&bb=DB0ML89QmIwPwFZLmf0bo58URFLhAAJoxb5dSS6zZ7QHU8weG3uNyr5gXHZp4HoXO9HYG2R1jXoVxJWp4FnhgPjXOFVrjTFeKrDh-KdeJxoMmpETCjLdfMX0UFdSkndp&xkcb=SoDb67M37GDW8TATEz0MbzkdCdPP&fccid=01a8a91ca4503136&cmp=Tower-Computer-Services%2C-Inc.&ti=IT+Technician&vjs=3,IT Technician,"TOWER COMPUTER SERVICES, INC.",N/A,"Southfield, MI 48075",N/A,Unknown,Unknown,"Southfield, MI 48075",technician,1
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-BTel_shVq2Lla-BATxeFg0fHfrRkRXbt9SQSHGYjQhEWI8onxBuQd6lQFA57RhwjZ0IBBA1RF6dQq94VLF3-S6rC3p1U7x1NXthDoQ4YAmDZZ5qofdv9e9RI2Z2gVHcN-LEytrC4CogPEczY61MdpTmH2lZWCTNCddISkGmvo0QCY5oe6Z4A845BPOKKHdWHFWnnh-Dh6hBw5PJ-KLaGNgFpaEIiBSrg69bUMTNwnJH0KBpy7W46ND0hHbVUf1RVULOe7OZU4JeDClDrU8uUVDXIgFfmnUmHAd19kzwmVYb3jUX438mIL_qNW3KnYsV3rkuX6xmsH185tVZkhd6efvDutPh63wBCgaZf6Mj_TVqwOb2khCCKhK2f_8ph_gI1wlic5BAJONOEDt9SFhl6x58G76dshgUXQrZDPxfvPIwZi52QeXtpeC70Ibguxe4XeftLlGHUZsyRH_zsSJQTVpCqykHahxUHuZHzXhfESRJuhaqDbUkw3ql9jEcGo50jR6I1nQsl5L15lKG8E1-rUru3uMpOutWwsvJDIVg10cfE4EvSJ_NkWCZx2rTxCPn9tzByDhoaxh9x7mcrOCywYseZzdvJsa75IZkCg_EpaA==&xkcb=SoDG6_M37GDW8TATEz0DbzkdCdPP&camk=nUmJqO2E8ri3CyUq--1DAA==&p=8&fvj=1&vjs=3,IT Technician,Dentwell P.C.,N/A,"El Paso, TX",N/A,Unknown,Unknown,"El Paso, TX",technician,1
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BG8mp9m1P3Xc4CYhuwfsUWNDpL2KxJA71G-vdFResZ40TpNgaaHxnbRRS3xbZTbQNtPeCgvzs86AVgKjMFKrejlpwJYvo1p-fzodd1RNlhp1p3i67ER1kebh2gNBNIt52mfX_JsbkAGqk5Own8sgrTbdMFSFEEJEFRO0GXMx_OPifAdCi1VLcxQm9fhS8T1dHhwjIpTmsfOexc4uTM0cm-CWV0tIwTH0MJc79lIT_wWXdBbsIT6BlM_jNfs3blvy3Op3iuzQwTVfwi9k_ZJYFjvkd_gZoMA72OmdzMbHSg0cRrdnttDpnCEgPUiSvDQ_n8hkz-8_tCuk1LSt6O7iMdO-6eTA8d7Z-ijFU-3U7Kf5qrnejBGz83eC3LJVFgXQXpajaoYxy3cquiWU7RSiae3RbM-6SGfTsqrZtiBM7JeW2eKHoa7NwkzFcWwnaBgTWIxvNN5fIFbMOib72JVM2jP00qVwgmn2627MbHCl1vHioANxYI9rXBX067P1G9D8_xlTg8PPxtPuKFqEVrYfmgDOyMhgHTdwwAbilFMy2e__yx5oLL66qPFeCQ_u2JqoQ-7BF67Tjd0D9bYVY5FMQ6MXwpcOh6IQ0yOv3pyVI7wdHXDJNKRdr3daxgGSukDm_VVIontopklOGgMgOBGmC_&xkcb=SoBy6_M37GDW8TATEz0CbzkdCdPP&camk=nUmJqO2E8rh3Vz03NZrCbQ==&p=9&fvj=1&vjs=3,IT Technician (1-3 yrs experience required),"Duramax Marine, LLC",EmployerActive 2 days ago,"Hiram, OH 44234",N/A,Unknown,Unknown,"Hiram, OH 44234",technician yrs experience required,8
